customer_id,order_date,product_category,quantity,price,discount,region
101,2024-01-15,Electronics,2,299.99,0.1,North
102,2024-01-16,Clothing,1,49.99,0.15,South
101,2024-01-20,Electronics,1,599.99,0.05,North
103,2024-01-22,Home,3,89.99,0.2,East
104,2024-01-25,Clothing,2,79.99,0,West
102,2024-02-01,Electronics,1,399.99,0.1,South
105,2024-02-03,Home,1,149.99,0.15,North
103,2024-02-10,Clothing,4,29.99,0.25,East
104,2024-02-15,Electronics,1,799.99,0.05,West
101,2024-02-20,Home,2,199.99,0.1,North
106,2024-03-01,Electronics,1,449.99,0.1,South
105,2024-03-05,Clothing,3,59.99,0.2,North
107,2024-03-10,Home,1,299.99,0,East
102,2024-03-15,Electronics,2,249.99,0.15,South
108,2024-03-20,Clothing,1,99.99,0.1,West
